Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001000,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
LP001001,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001002,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001003,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001004,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001005,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001007,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001008,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001009,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001010,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
LP001012,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP001013,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP001014,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP001015,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP001016,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
LP001017,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP001018,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP001019,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
LP001020,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP001021,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP001022,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001023,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP001024,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
LP001025,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP001026,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
LP001027,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP001028,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP001029,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP001030,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
LP001031,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP001032,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP001033,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
